station,name,lon,lat,trafic,main,ratpId,ratpx,ratpy,corr
96,Filles du Calvaire,2.36612141132354,48.8640724934304,1663111,477,1919,5126,3906,0
97,Fort d'Aubervilliers,2.40378499031066,48.9142398621721,3455421,478,1923,6260,1437,0
98,Franklin D. Roosevelt,2.30989,48.868977,12640577,479,1924,2424,3801,1
99,Gabriel Péri,2.29438841342926,48.916575405505,5377830,480,22443,2223,1218,0
100,Gaîté,2.3226374387741,48.8386539301621,3223366,481,1927,3486,5922,0
101,Gallieni,2.416637,48.864936,6314009,482,1928,7121,3807,0
102,Gambetta,2.398451,48.864947,7576845,483,1929,6551,3792,1
103,Gare d'Austerlitz,2.36497074365615,48.8426258796861,9063260,484,1838,5156,5495,1
104,Gare de L'Est,2.35763221979141,48.8760510296129,19671320,485,1841,4980,2859,1
105,Gare de Lyon,2.37392932176589,48.8447282374759,34523049,486,1839,5386,5159,1
106,Gare du Nord,2.35493123531341,48.8805747633371,48146629,487,1842,4836,2548,1
107,Garibaldi,2.33190715312957,48.9063969257208,3088530,488,1844,3316,1496,0
108,George V,2.300569,48.872013,6192199,489,1846,2212,3603,0
109,Glacière,2.34347222222222,48.8311111111111,4739497,490,1848,4416,6131,0
110,Goncourt,2.37068653106689,48.8698314406679,3648533,491,1849,5456,3323,0
111,Grands Boulevards,2.34571784734725,48.8711369921799,6826718,492,1671,4088,3403,1
112,Guy Môquet,2.327174,48.892221,4524101,493,1851,3140,1928,0
113,Havre — Caumartin,2.32858389616012,48.8734489697538,8343415,494,1852,3236,3407,1
114,Hoche,2.4031439423561,48.8914938945055,5217935,495,1853,6572,2260,0
115,Hôtel de Ville,2.351525,48.857487,12760823,496,1855,4556,4219,1
116,Iéna,2.29337990283966,48.8644659720102,2115003,497,1858,1816,4199,0
117,Invalides,2.314658,48.860764,6931062,498,1857,2580,4415,1
118,Jacques Bonsergent,2.36091390252113,48.8706553534931,2622801,499,1859,5092,3231,0
119,Jasmin,2.26785600185394,48.8518978317505,2065058,500,1860,1084,5175,0
120,Jaurès,2.37019836902618,48.8817900777183,6046012,501,1861,5620,2567,1
121,Javel — André-Citroën,2.27871626615524,48.8461650626414,2473278,502,1862,1668,5487,0
122,Jourdain,2.38927826285362,48.8749079040519,3418732,503,1864,6220,2983,0
123,Jules Joffrin,2.34478175640106,48.8924373676583,4384318,504,1865,4172,2036,0
124,Jussieu,2.355738,48.846052,4080680,505,1866,4712,5279,1
125,Kléber,2.293118,48.871138,1150016,506,1867,1744,3575,0
126,La Chapelle,2.36028760671615,48.8844111051604,6903632,507,1868,4980,2375,0
127,La Courneuve — 8 Mai 1945,2.410668,48.920777,5707118,508,1869,6256,1216,0
128,La Défense - Grande arche,2.24011659622192,48.8912910895403,13853216,509,1850,911,2237,0
129,La Fourche,2.325875,48.8869,2975434,510,1872,3144,2176,0
130,La Motte-Picquet — Grenelle,2.30004921555519,48.8507170903073,8099346,511,1874,2200,5211,1
131,La Muette,2.27371931076049,48.8577181800451,4112862,512,1876,1088,4543,0
132,La Tour-Maubourg,2.31039851903915,48.8576670034609,2055583,513,54166,2396,4595,0
133,Lamarck — Caulaincourt,2.338159,48.889139,3054528,514,1879,3933,2056,0
134,Laumière,2.378524,48.885006,4518075,515,1882,6012,2472,0
135,Le Kremlin-Bicêtre,2.361849,48.810388,4492364,516,1793,4836,6658,0
136,Le Peletier,2.339548766613,48.8747200267497,2235088,517,1795,3908,3051,0
137,Ledru-Rollin,2.37516045570373,48.8515289633486,3829461,518,1798,5356,4715,0
138,Les Gobelins,2.35225,48.8364,3830231,519,1800,4708,5895,0
139,Les Halles,2.34597265720367,48.8623962047281,13113834,520,1801,4263,4099,0
140,Les Sablons,2.272432,48.880966,5430088,521,1802,1372,2751,0
141,Liberté,2.407022,48.825882,2607263,522,1803,6456,6095,0
142,Liège,2.326983,48.879626,1731063,523,1804,3144,2667,0
143,Louis Blanc,2.36483931541442,48.8811374452195,2523039,524,1806,5404,2627,1
144,Louise Michel,2.288073,48.889273,3240270,525,1807,2156,2076,0
145,Lourmel,2.28181689977645,48.8386044994726,2441226,526,1808,1968,6135,0
146,Louvre — Rivoli,2.340283,48.86108,2582023,527,1809,3652,4211,0
147,Mabillon,2.33532160520553,48.8527749863653,1915829,528,1812,3692,4927,0
148,Madeleine,2.32500046491622,48.8704824564233,7412746,529,1813,2768,3823,1
149,Mairie de Clichy,2.30534255504608,48.9039586481128,4194027,530,1816,2520,1520,0
150,Mairie de Montreuil,2.441847,48.862283,2973671,531,1817,7140,4075,0
151,Mairie de Saint-Ouen,2.33375251293182,48.911618635581,6892451,532,1818,3516,1296,0
152,Mairie des Lilas,2.41628944873809,48.8797880564255,6300355,533,1819,7144,2747,0
153,Mairie d'Issy,2.273434,48.824152,3732408,534,1814,1772,6958,0
154,Mairie d'Ivry,2.38338679075241,48.8111240805884,4602681,535,1815,5884,6818,0
155,Maison Blanche,2.358531,48.822155,2155971,536,1820,4836,6474,0
156,Maisons-Alfort — Les Juilliottes,2.446432,48.802567,1976516,537,21583,6953,6732,0
157,Maisons-Alfort — Stade,2.43607342243194,48.8086811577136,1523038,538,21582,6953,6588,0
158,Malakoff — Plateau de Vanves,2.29834467172622,48.8228424494537,3912036,539,22442,2883,6702,0
159,Malakoff — Rue Étienne-Dolet,2.29730129241943,48.8147025799036,1846661,540,22441,2877,6927,0
160,Malesherbes,2.311002,48.882476,2546859,541,1826,2580,2507,0
161,Maraîchers,2.40699023008346,48.8528508762837,2986282,542,55372,6700,4507,0
162,Marcadet — Poissonniers,2.35002815723419,48.8903687574513,6064992,543,1828,4375,2008,1
163,Marcel Sembat,2.24357932806015,48.8336700119712,5816044,544,1829,972,6254,0
164,Marx-Dormoy,2.35990941524505,48.8912134943795,3586107,545,1831,5004,1924,0
165,Maubert — Mutualité,2.34793603420257,48.8501928957193,2549853,546,1834,4336,5067,0
166,Ménilmontant,2.383618,48.866248,4294888,547,1754,6028,3535,0
167,Michel Bizot,2.4012342095375,48.8374852343758,2111494,548,1835,6384,5543,0
168,Michel-Ange — Auteuil,2.26387023925781,48.8477712925851,2206285,549,1836,1088,5487,1
169,Michel-Ange — Molitor,2.261194,48.84496,1939507,550,1837,1088,5687,1
170,Mirabeau,2.27170765399932,48.8467387221072,1387272,551,1746,1440,5615,0
171,Miromesnil,2.31446474790573,48.8736668423302,5769023,552,1747,2824,3429,1
172,Monceau,2.308603,48.880319,1605664,553,1749,2524,2799,0
